time(sec),hr(heart rate),ppg
0.033333,60,0.20791
0.066667,60,0.40674
0.1,60,0.58779
0.13333,60,0.74314
0.16667,60,0.86603
0.2,60,0.95106
0.23333,60,0.99452
0.26667,60,0.99452
0.3,60,0.95106
0.33333,60,0.86603
0.36667,60,0.74315
0.4,60,0.58779
0.43333,60,0.40674
0.46667,60,0.20791
0.5,60,6.5359e-07
0.53333,60,-0.20791
0.56667,60,-0.40674
0.6,60,-0.58778
0.63333,60,-0.74314
0.66667,60,-0.86602
0.7,60,-0.95106
0.73333,60,-0.99452
0.76667,60,-0.99452
0.8,60,-0.95106
0.83333,60,-0.86603
0.86667,60,-0.74315
0.9,60,-0.58779
0.93333,60,-0.40674
0.96667,60,-0.20791
1,60,-1.3072e-06
1.0333,60,0.20791
1.0667,60,0.40674
1.1,60,0.58778
1.1333,60,0.74314
1.1667,60,0.86602
1.2,60,0.95106
1.2333,60,0.99452
1.2667,60,0.99452
1.3,60,0.95106
1.3333,60,0.86603
1.3667,60,0.74315
1.4,60,0.58779
1.4333,60,0.40674
1.4667,60,0.20791
1.5,60,1.9608e-06
1.5333,60,-0.20791
1.5667,60,-0.40673
1.6,60,-0.58778
1.6333,60,-0.74314
1.6667,60,-0.86602
1.7,60,-0.95106
1.7333,60,-0.99452
1.7667,60,-0.99452
1.8,60,-0.95106
1.8333,60,-0.86603
1.8667,60,-0.74315
1.9,60,-0.58779
1.9333,60,-0.40674
1.9667,60,-0.20791
2,60,-2.6144e-06
2.0333,60,0.20791
2.0667,60,0.40673
2.1,60,0.58778
2.1333,60,0.74314
2.1667,60,0.86602
2.2,60,0.95106
2.2333,60,0.99452
2.2667,60,0.99452
2.3,60,0.95106
2.3333,60,0.86603
2.3667,60,0.74315
2.4,60,0.58779
2.4333,60,0.40674
2.4667,60,0.20791
2.5,60,3.2679e-06
2.5333,60,-0.20791
2.5667,60,-0.40673
2.6,60,-0.58778
2.6333,60,-0.74314
2.6667,60,-0.86602
2.7,60,-0.95106
2.7333,60,-0.99452
2.7667,60,-0.99452
2.8,60,-0.95106
2.8333,60,-0.86603
2.8667,60,-0.74315
2.9,60,-0.58779
2.9333,60,-0.40674
2.9667,60,-0.20792
3,60,-3.9215e-06
3.0333,60,0.20791
3.0667,60,0.40673
3.1,60,0.58778
3.1333,60,0.74314
3.1667,60,0.86602
3.2,60,0.95106
3.2333,60,0.99452
3.2667,60,0.99452
3.3,60,0.95106
3.3333,60,0.86603
3.3667,60,0.74315
3.4,60,0.58779
3.4333,60,0.40674
3.4667,60,0.20792
3.5,60,4.5751e-06
3.5333,60,-0.20791
3.5667,60,-0.40673
3.6,60,-0.58778
3.6333,60,-0.74314
3.6667,60,-0.86602
3.7,60,-0.95106
3.7333,60,-0.99452
3.7667,60,-0.99452
3.8,60,-0.95106
3.8333,60,-0.86603
3.8667,60,-0.74315
3.9,60,-0.58779
3.9333,60,-0.40674
3.9667,60,-0.20792
4,60,-5.2287e-06
4.0333,60,0.20791
4.0667,60,0.40673
4.1,60,0.58778
4.1333,60,0.74314
4.1667,60,0.86602
4.2,60,0.95105
4.2333,60,0.99452
4.2667,60,0.99452
4.3,60,0.95106
4.3333,60,0.86603
4.3667,60,0.74315
4.4,60,0.58779
4.4333,60,0.40674
4.4667,60,0.20792
4.5,60,5.8823e-06
4.5333,60,-0.20791
4.5667,60,-0.40673
4.6,60,-0.58778
4.6333,60,-0.74314
4.6667,60,-0.86602
